nombre;precio_normal;precio_promocional;precio_CMR;descuento;paginacion
Celular Y9 Prime 2019 Azul Zafiro Huawei;$ 1.099.900;$ 728.800;null;-33%;2
samsung S10+ G975F 8+128G Negro;$ 4.087.491;$ 3.269.993;null;-19%;10
iPhone 11 64 GB-Yellow;$ 4.000.000;$ 3.349.000;null;-16%;?
Blackview A7 3G Smartphone Android 7,0 5...;null;$ 356.900;null;null;?
Celular Smartphone Zte Fanfare 3 Color N...;$ 240.000;$ 176.990;null;-26%;2
iPhone 7+ Plus Negro 128GB;$ 2.600.000;$ 2.339.900;null;-10%;13
google pixel-3XL-64G Negro;$ 2.847.338;$ 2.277.870;null;-20%;12
SAMSUNG GALAXY A11 2GB RAM 32 GB INTERNA...;$ 700.000;$ 599.000;null;-14%;10
Celular Samsung Galaxy A11;$ 799.999;$ 700.000;null;-12%;10
samsung S9+ G965FD 6+64G  Negro;$ 3.268.441;$ 2.145.242;null;-34%;10
REDMI NOTE 8T 32GB NFC GRIS;null;$ 639.900;null;null;2
Apple iPhone 6 (128GB) Plata;$ 1.262.338;$ 970.847;null;-23%;?
Celular Samsung J2 CORE DS 16GB - Dorado;$ 399.900;$ 329.900;null;-17%;
Celular LG V20 64gb 4gb Ram 16mp 4g Lte...;$ 1.099.000;$ 560.900;null;-48%;6
Realme C3 64GB 3GB RAM - Azul;$ 599.900;$ 549.900;null;-8%;11
Galaxy Fit e Samsung  Unisex-Amarillo;null;$ 149.900;null;null;6
GTX650Ti 1GB DDR5 Tarjeta gráfica de 128...;$ 259.486;$ 185.490;null;-28%;12
Celular Huawei P40 Pro 256GB;null;$ 4.599.900;$ 4.499.900;null;12
Xiaomi POCO F2 Pro 6GB 128GB Versión Glo...;$ 3.688.499;$ 2.543.789;null;-31%;?
samsung S8+ G955F 4+64G Oro;$ 2.471.001;$ 1.676.966;null;-32%;?
Apple IPhone 7 128GB-Oro Rosa;$ 1.888.900;$ 930.900;null;-50%;3
Xiaomi Redmi Note 8 4 + 64GB Global Vers...;$ 959.000;$ 676.000;null;-29%;4
Celular Samsung Galaxy A10s DS - Negro;$ 549.900;$ 505.200;null;-8%;2
samsung S9+ G965F 6+64G  Negro;$ 3.245.286;$ 2.123.013;null;-34%;11
Celular Samsung Galaxy A30s 128 Gb Lila;$ 1.000.000;$ 943.900;null;-5%;10
Apple iPhone 7P(32GB)  Plata;$ 2.462.665;$ 2.018.540;null;-18%;?
Celular L503F Dorado Hyundai;null;$ 330.000;null;null;3
M4 Smart Band Watch Reloj Inteligente Pu...;$ 69.900;$ 37.900;null;-45%;
CARCASA ITSKINS Evolution iPhone 6 Plus...;$ 30.000;$ 15.000;null;-50%;11
Celular Neffos X20 Pro 64GB;$ 999.900;$ 559.900;null;-44%;6
samsung note8 N950F 6+64G  Púrpura;$ 2.826.653;$ 1.860.720;null;-34%;10
SIM CARD PREPAGO TIGO;null;$ 5.000;null;null;?
PIM6 Monedero llavero peluche tortuga am...;$ 23.000;$ 7.500;null;-67%;11
Celular Samsung Galaxy Note 10+;$ 4.399.900;$ 3.999.900;$ 3.899.900;-9%;8
Celular Xiaomi Redmi Note 9s 64Gb - Blan...;$ 1.549.000;$ 849.000;null;-45%;
Celular iPro A28 Gran Pantalla Superbate...;$ 189.900;$ 79.900;null;-57%;11
iPhone 7 Negro 32GB;$ 1.700.000;$ 1.549.900;null;-8%;?
GTX750 Ti 1GB DDR5 192Bit Tarjeta de vid...;$ 214.826;$ 153.590;null;-28%;12
CELULAR KRONO PLAY K7 GRIS / AZUL;$ 69.900;$ 44.900;null;-35%;11
samsung S8 G950FD 4+64G Plata;$ 2.267.241;$ 1.550.264;null;-31%;10
Celular Samsung Galaxy S10 Octacore 128...;null;$ 3.909.900;null;null;5
google pixel-2XL-128G Negro;$ 1.995.254;$ 1.596.203;null;-20%;12
Celular LG K40 5.7 Hd 32gb / 2gb Certifi...;$ 499.900;$ 499.700;null;null;3
iPhone XR 64 GB - Negro;$ 3.499.990;$ 2.499.990;null;-28%;8
Celular Xiaomi Redmi Note 9s 64Gb - Negr...;$ 1.549.000;$ 849.000;null;-45%;3
"Samsung GALAXY S6 Pantalla recta 5.1"" 32...";$ 699.000;$ 560.900;null;-19%;5
Samsung Galaxy A60 Smartphone 6GB + 128G...;$ 1.778.900;$ 1.422.900;null;-20%;?
samsung S9 G960F 4+64G Negro;$ 2.962.802;$ 1.900.730;null;-35%;10
Celular Samsung Galaxy S7 32gb 4g Lte De...;$ 990.900;$ 650.900;null;-34%;6
SmartBand Reloj Inteligente Smartwatch F...;$ 159.900;$ 94.900;null;-40%;2
iPhone 7 Oro Rosa 32GB + Audífonos Inalá...;$ 1.800.000;$ 1.609.900;null;-10%;
Apple iPhone 6 (128GB) Gris;$ 1.262.338;$ 970.847;null;-23%;?
iPhone 7 Blanco 32GB + Audífonos Inalámb...;$ 1.800.000;$ 1.609.900;null;-10%;?
Celular Samsung Galaxy A30s;$ 900.000;$ 859.900;null;-4%;
Apple iPhone 6SP(128GB)  Plata;$ 2.080.153;$ 1.459.128;null;-29%;?
Celular Hyundai L601F 16GB Dual Sim Card...;$ 519.900;$ 380.900;null;-26%;?
Celular Motorola E6 Plus 64GB 4GB Ram Gr...;null;$ 479.900;null;null;
Samsung Galaxy A01 16GB DS - Negro;$ 619.990;$ 567.229;null;-8%;?
"GALAXY S7 5.1"" 32gb 4gb Ram Lte 12MP - B...";$ 990.600;$ 650.900;null;-34%;4
Celular Huawei P30 Lite - Azul;null;$ 1.299.900;null;null;8
iPhone 11 Pro 256 GB Silver/Plata;$ 6.669.000;$ 5.669.000;null;-14%;?
XIAOMI Redmi Note 8 4GB 64GB 48MP 4G Sma...;$ 1.053.880;$ 810.198;null;-23%;4
Celular Asus Zenfone 5 Selfie Pro libre...;$ 990.900;$ 805.510;null;-18%;12
iPhone 11 Pro 256 GB Midnight Green;$ 6.669.000;$ 5.669.000;null;-14%;?
Celular Samsung Galaxy A11 32Gb 13mp Neg...;$ 749.900;$ 599.900;null;-20%;2
SAMSUNG A30S SM A307G/DS 64GB VIOLETA;$ 780.000;$ 729.900;null;-6%;
iPhone 7 Oro Rosa 32GB;$ 1.700.000;$ 1.549.900;null;-8%;13
Celular  Huawei Y9 Prime 2019 128GB;$ 999.900;$ 769.900;null;-23%;12
Celular Samsung A20s Octa-core 32gb Ram3...;$ 729.900;$ 609.310;null;-16%;2
Moto E6 S 32GB;$ 499.900;$ 419.900;$ 379.900;-16%;
